Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023


	=SUBTOTAL(109,B6:B5859)																					
2716	1	sp|Q7TPW1|NEXN_MOUSE	 	 	sp|P10107|ANXA1_MOUSE, sp|Q7TPW1|NEXN_MOUSE	 	13.8	607	72107	Nexilin OS=Mus musculus OX=10090 GN=Nexn PE=1 SV=3	18	12	0.667	6	6	6	4	5	3	4.098	5.098	3.158
2717	1	sp|Q7TQ95|LNP_MOUSE	 	 	 	 	37.4	425	47499	Endoplasmic reticulum junction formation protein lunapark OS=Mus musculus OX=10090 GN=Lnpk PE=1 SV=1	43	43	1.000	17	11	15	17	11	15	17.000	11.000	15.000
2718	1	sp|Q7TQE6|MACOI_MOUSE	 	 	 	 	6.2	664	76088	Macoilin OS=Mus musculus OX=10090 GN=Maco1 PE=1 SV=1	4	4	1.000	0	2	2	0	2	2	0.000	2.000	2.000
2719	1	sp|Q7TQF2|FBX10_MOUSE	 	 	 	 	4.8	950	104477	F-box only protein 10 OS=Mus musculus OX=10090 GN=Fbxo10 PE=1 SV=2	4	4	1.000	4	0	0	4	0	0	4.000	0.000	0.000
2720	1	sp|Q7TQF7|AMPH_MOUSE	 	 	sp|D3Z6Q9|BIN2_MOUSE, sp|O08539|BIN1_MOUSE, sp|Q7TQF7|AMPH_MOUSE	 	54.8	686	75012	Amphiphysin OS=Mus musculus OX=10090 GN=Amph PE=1 SV=1	92	88	0.957	28	36	28	27	34	27	27.540	35.388	27.643
2721	1	sp|Q7TQH0|ATX2L_MOUSE	 	 	sp|O70305|ATX2_MOUSE, sp|Q7TQH0|ATX2L_MOUSE	 	26.5	1049	110648	Ataxin-2-like protein OS=Mus musculus OX=10090 GN=Atxn2l PE=1 SV=1	71	68	0.958	23	20	28	22	20	26	22.500	20.000	27.156
2722	1	sp|Q7TQI3|OTUB1_MOUSE	 	 	 	 	69.7	271	31270	Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=2	69	69	1.000	28	21	20	28	21	20	28.000	21.000	20.000
2723	1	sp|Q7TQI7|ABTB2_MOUSE	 	 	 	 	18.9	1024	113502	Ankyrin repeat and BTB/POZ domain-containing protein 2 OS=Mus musculus OX=10090 GN=Abtb2 PE=1 SV=1	23	23	1.000	9	6	8	9	6	8	9.000	6.000	8.000
2724	1	sp|Q7TQK0|CCNT2_MOUSE	 	 	sp|Q7TQK0|CCNT2_MOUSE, sp|Q9QWV9|CCNT1_MOUSE	 	2.4	723	80251	Cyclin-T2 OS=Mus musculus OX=10090 GN=Ccnt2 PE=1 SV=1	3	1	0.333	0	2	1	0	1	0	0.000	1.500	0.500
2725	1	sp|Q7TQK1|INT7_MOUSE	 	 	 	 	4.7	966	106860	Integrator complex subunit 7 OS=Mus musculus OX=10090 GN=Ints7 PE=1 SV=1	8	8	1.000	3	3	2	3	3	2	3.000	3.000	2.000
2726	1	sp|Q7TQK4|EXOS3_MOUSE	 	 	 	 	25.9	274	29546	Exosome complex component RRP40 OS=Mus musculus OX=10090 GN=Exosc3 PE=1 SV=3	10	10	1.000	5	3	2	5	3	2	5.000	3.000	2.000
2727	1	sp|Q7TQK5|CCD93_MOUSE	 	 	 	 	19.7	629	72602	Coiled-coil domain-containing protein 93 OS=Mus musculus OX=10090 GN=Ccdc93 PE=1 SV=1	16	16	1.000	8	2	6	8	2	6	8.000	2.000	6.000
2728	1	sp|Q7TSC1|PRC2A_MOUSE	 	 	sp|Q3TLH4|PRC2C_MOUSE, sp|Q7TPM1|PRC2B_MOUSE, sp|Q7TSC1|PRC2A_MOUSE	 	20.5	2158	229200	Protein PRRC2A OS=Mus musculus OX=10090 GN=Prrc2a PE=1 SV=1	92	87	0.946	28	39	25	26	38	23	26.684	38.380	23.687
2729	1	sp|Q7TSE6|ST38L_MOUSE	 	 	sp|Q7TSE6|ST38L_MOUSE, sp|Q91VJ4|STK38_MOUSE	 	12.7	464	53771	Serine/threonine-protein kinase 38-like OS=Mus musculus OX=10090 GN=Stk38l PE=1 SV=2	14	3	0.214	4	6	4	2	1	0	2.222	1.625	0.000
2730	1	sp|Q7TSG2|CTDP1_MOUSE	 	 	 	 	15.4	960	104553	RNA polymerase II subunit A C-terminal domain phosphatase OS=Mus musculus OX=10090 GN=Ctdp1 PE=1 SV=1	14	14	1.000	6	4	4	6	4	4	6.000	4.000	4.000
2731	1	sp|Q7TSH2|KPBB_MOUSE	 	 	 	 	10.8	1085	123888	Phosphorylase b kinase regulatory subunit beta OS=Mus musculus OX=10090 GN=Phkb PE=1 SV=1	13	13	1.000	7	2	4	7	2	4	7.000	2.000	4.000
2732	1	sp|Q7TSH3|ZN516_MOUSE	 	 	 	 	8.0	1157	124787	Zinc finger protein 516 OS=Mus musculus OX=10090 GN=Znf516 PE=1 SV=1	9	9	1.000	1	8	0	1	8	0	1.000	8.000	0.000
2733	1	sp|Q7TSH6|SCAF4_MOUSE	 	 	sp|Q6DID3|SCAF8_MOUSE, sp|Q7TSH6|SCAF4_MOUSE	 	4.1	1183	129054	SR-related and CTD-associated factor 4 OS=Mus musculus OX=10090 GN=Scaf4 PE=1 SV=1	9	4	0.444	5	3	1	2	2	0	2.600	2.250	0.000
2734	1	sp|Q7TSI3|PP6R1_MOUSE	 	 	sp|Q7TSI3|PP6R1_MOUSE, sp|Q922D4|PP6R3_MOUSE	 	22.0	856	94526	Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Mus musculus OX=10090 GN=Ppp6r1 PE=1 SV=1	22	21	0.955	8	9	5	8	8	5	8.000	8.421	5.000
2735	1	sp|Q7TSJ2|MAP6_MOUSE	 	 	 	 	24.7	906	96449	Microtubule-associated protein 6 OS=Mus musculus OX=10090 GN=Map6 PE=1 SV=2	42	42	1.000	11	20	11	11	20	11	11.000	20.000	11.000
2736	1	sp|Q7TSS2|UB2Q1_MOUSE	 	 	sp|Q7TSS2|UB2Q1_MOUSE, sp|Q8K2Z8|UB2Q2_MOUSE	 	18.0	422	46172	Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus OX=10090 GN=Ube2q1 PE=1 SV=2	9	7	0.778	5	2	2	4	2	1	4.800	2.000	2.000
2737	1	sp|Q7TSV4|PGM2_MOUSE	 	 	 	 	30.6	620	68747	Phosphopentomutase OS=Mus musculus OX=10090 GN=Pgm2 PE=1 SV=1	29	29	1.000	15	10	4	15	10	4	15.000	10.000	4.000
2738	1	sp|Q7TSZ8|NACC1_MOUSE	 	 	sp|Q7TSZ8|NACC1_MOUSE, sp|Q9DCM7|NACC2_MOUSE	 	5.6	514	56536	Nucleus accumbens-associated protein 1 OS=Mus musculus OX=10090 GN=Nacc1 PE=1 SV=1	7	6	0.857	1	3	3	1	2	3	1.000	2.667	3.000
2739	1	sp|Q7TT18|MCAF1_MOUSE	 	 	 	 	7.8	1306	138591	Activating transcription factor 7-interacting protein 1 OS=Mus musculus OX=10090 GN=Atf7ip PE=1 SV=1	12	12	1.000	4	5	3	4	5	3	4.000	5.000	3.000
2740	1	sp|Q7TT37|ELP1_MOUSE	 	 	 	 	39.5	1333	149582	Elongator complex protein 1 OS=Mus musculus OX=10090 GN=Elp1 PE=1 SV=2	107	107	1.000	43	32	32	43	32	32	43.000	32.000	32.000
2741	1	sp|Q7TT45|RRAGD_MOUSE	 	 	sp|Q7TT45|RRAGD_MOUSE, sp|Q99K70|RRAGC_MOUSE	 	14.7	449	51232	Ras-related GTP-binding protein D OS=Mus musculus OX=10090 GN=Rragd PE=1 SV=2	14	2	0.143	7	3	4	1	0	1	1.857	0.000	2.000
2742	1	sp|Q7TT50|MRCKB_MOUSE	 	 	sp|Q3UU96|MRCKA_MOUSE, sp|Q7TT50|MRCKB_MOUSE, sp|Q9JLV5|CUL3_MOUSE	 	20.0	1713	194750	Serine/threonine-protein kinase MRCK beta OS=Mus musculus OX=10090 GN=Cdc42bpb PE=1 SV=2	48	37	0.771	21	14	13	17	10	10	19.345	12.370	11.245
2743	1	sp|Q80SW1|SAHH2_MOUSE	 	 	sp|P50247|SAHH_MOUSE, sp|Q68FL4|SAHH3_MOUSE, sp|Q80SW1|SAHH2_MOUSE	 	37.2	530	58951	S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Ahcyl1 PE=1 SV=1	42	17	0.405	19	11	12	10	4	3	13.667	5.985	5.815
2744	1	sp|Q80SY4|MIB1_MOUSE	 	 	 	 	22.9	1006	110087	E3 ubiquitin-protein ligase MIB1 OS=Mus musculus OX=10090 GN=Mib1 PE=1 SV=1	31	31	1.000	13	6	12	13	6	12	13.000	6.000	12.000
2745	1	sp|Q80SY5|PR38B_MOUSE	 	 	 	 	21.4	542	63752	Pre-mRNA-splicing factor 38B OS=Mus musculus OX=10090 GN=Prpf38b PE=1 SV=1	22	22	1.000	7	10	5	7	10	5	7.000	10.000	5.000
2746	1	sp|Q80SY6|ADAL_MOUSE	 	 	 	 	18.6	360	41000	Adenosine deaminase-like protein OS=Mus musculus OX=10090 GN=Adal PE=2 SV=1	8	8	1.000	5	3	0	5	3	0	5.000	3.000	0.000
2747	1	sp|Q80SZ7|GBG5_MOUSE	 	 	 	 	73.5	68	7318	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Mus musculus OX=10090 GN=Gng5 PE=1 SV=2	12	12	1.000	4	5	3	4	5	3	4.000	5.000	3.000
2748	1	sp|Q80T21|ATL4_MOUSE	 	 	 	 	6.9	1036	113224	ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1	6	6	1.000	2	4	0	2	4	0	2.000	4.000	0.000
2749	1	sp|Q80T69|RSBN1_MOUSE	 	 	 	 	4.7	795	89250	Lysine-specific demethylase 9 OS=Mus musculus OX=10090 GN=Rsbn1 PE=1 SV=3	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
2750	1	sp|Q80T85|DCAF5_MOUSE	 	 	 	 	15.4	946	103675	DDB1- and CUL4-associated factor 5 OS=Mus musculus OX=10090 GN=Dcaf5 PE=1 SV=2	15	15	1.000	4	6	5	4	6	5	4.000	6.000	5.000
2751	1	sp|Q80TA9|EPG5_MOUSE	 	 	 	 	3.9	2572	290798	Ectopic P granules protein 5 homolog OS=Mus musculus OX=10090 GN=Epg5 PE=1 SV=2	9	9	1.000	7	2	0	7	2	0	7.000	2.000	0.000
2752	1	sp|Q80TB8|VAT1L_MOUSE	 	 	 	 	43.2	417	45817	Synaptic vesicle membrane protein VAT-1 homolog-like OS=Mus musculus OX=10090 GN=Vat1l PE=1 SV=2	26	26	1.000	14	7	5	14	7	5	14.000	7.000	5.000
2753	1	sp|Q80TE0|RPAP1_MOUSE	 	 	 	 	8.9	1409	155268	RNA polymerase II-associated protein 1 OS=Mus musculus OX=10090 GN=Rpap1 PE=1 SV=2	20	20	1.000	8	5	7	8	5	7	8.000	5.000	7.000
2754	1	sp|Q80TE4|SI1L2_MOUSE	 	 	sp|G3X9J0|SI1L3_MOUSE, sp|Q80TE4|SI1L2_MOUSE, sp|Q8C0T5|SI1L1_MOUSE	 	2.1	1722	189410	Signal-induced proliferation-associated 1-like protein 2 OS=Mus musculus OX=10090 GN=Sipa1l2 PE=1 SV=3	10	3	0.300	3	5	2	1	1	1	1.047	1.114	1.037
2755	1	sp|Q80TH2|ERBIN_MOUSE	 	 	 	 	18.3	1402	157247	Erbin OS=Mus musculus OX=10090 GN=Erbin PE=1 SV=3	36	36	1.000	14	11	11	14	11	11	14.000	11.000	11.000
2756	1	sp|Q80TJ1|CAPS1_MOUSE	 	 	sp|O88735|MAP7_MOUSE, sp|Q80TJ1|CAPS1_MOUSE	 	3.7	1355	153111	Calcium-dependent secretion activator 1 OS=Mus musculus OX=10090 GN=Cadps PE=1 SV=3	4	3	0.750	0	2	2	0	2	1	0.000	2.000	1.091
2757	1	sp|Q80TL7|MON2_MOUSE	 	 	 	 	8.9	1715	189076	Protein MON2 homolog OS=Mus musculus OX=10090 GN=Mon2 PE=1 SV=2	17	17	1.000	10	3	4	10	3	4	10.000	3.000	4.000
2758	1	sp|Q80TM9|NISCH_MOUSE	 	 	 	 	22.6	1593	175010	Nischarin OS=Mus musculus OX=10090 GN=Nisch PE=1 SV=2	65	65	1.000	35	18	12	35	18	12	35.000	18.000	12.000
2759	1	sp|Q80TN4|DJC16_MOUSE	 	 	 	 	3.4	772	89135	DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2	4	4	1.000	0	1	3	0	1	3	0.000	1.000	3.000
2760	1	sp|Q80TP3|UBR5_MOUSE	 	 	 	 	9.1	2792	308349	E3 ubiquitin-protein ligase UBR5 OS=Mus musculus OX=10090 GN=Ubr5 PE=1 SV=2	21	21	1.000	14	7	0	14	7	0	14.000	7.000	0.000
2761	1	sp|Q80TQ5|PKHM2_MOUSE	 	 	 	 	3.9	1018	112732	Pleckstrin homology domain-containing family M member 2 OS=Mus musculus OX=10090 GN=Plekhm2 PE=1 SV=2	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
2762	1	sp|Q80TR8|DCAF1_MOUSE	 	 	 	 	4.7	1506	168929	DDB1- and CUL4-associated factor 1 OS=Mus musculus OX=10090 GN=Dcaf1 PE=1 SV=4	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
2763	1	sp|Q80TV8|CLAP1_MOUSE	 	 	sp|Q80TV8|CLAP1_MOUSE, sp|Q8BRT1|CLAP2_MOUSE	 	23.9	1535	169225	CLIP-associating protein 1 OS=Mus musculus OX=10090 GN=Clasp1 PE=1 SV=2	57	47	0.825	26	20	11	22	17	8	24.146	18.594	9.143
2764	1	sp|Q80TY0|FNBP1_MOUSE	 	 	 	 	7.0	616	71343	Formin-binding protein 1 OS=Mus musculus OX=10090 GN=Fnbp1 PE=1 SV=2	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
2765	1	sp|Q80TZ3|AUXI_MOUSE	 	 	sp|Q80TZ3|AUXI_MOUSE, sp|Q99KY4|GAK_MOUSE	 	10.4	938	102298	Putative tyrosine-protein phosphatase auxilin OS=Mus musculus OX=10090 GN=Dnajc6 PE=1 SV=2	11	5	0.455	8	2	1	5	0	0	5.556	0.000	0.000
2766	1	sp|Q80TZ9|RERE_MOUSE	 	 	 	 	2.0	1558	171753	Arginine-glutamic acid dipeptide repeats protein OS=Mus musculus OX=10090 GN=Rere PE=1 SV=3	3	3	1.000	0	3	0	0	3	0	0.000	3.000	0.000
2767	1	sp|Q80U30|CL16A_MOUSE	 	 	 	 	4.7	1036	116231	Protein CLEC16A OS=Mus musculus OX=10090 GN=Clec16a PE=1 SV=2	4	4	1.000	3	1	0	3	1	0	3.000	1.000	0.000
2768	1	sp|Q80U35|ARHGH_MOUSE	 	 	 	 	5.5	2057	221669	Rho guanine nucleotide exchange factor 17 OS=Mus musculus OX=10090 GN=Arhgef17 PE=1 SV=2	8	8	1.000	4	3	1	4	3	1	4.000	3.000	1.000
2769	1	sp|Q80U44|ZFY16_MOUSE	 	 	 	 	7.5	1528	166669	Zinc finger FYVE domain-containing protein 16 OS=Mus musculus OX=10090 GN=Zfyve16 PE=1 SV=2	11	11	1.000	7	2	2	7	2	2	7.000	2.000	2.000
2770	1	sp|Q80U56|AVL9_MOUSE	 	 	 	 	6.6	649	72185	Late secretory pathway protein AVL9 homolog OS=Mus musculus OX=10090 GN=Avl9 PE=1 SV=2	5	5	1.000	4	1	0	4	1	0	4.000	1.000	0.000
2771	1	sp|Q80U58|PUM2_MOUSE	 	 	sp|Q80U58|PUM2_MOUSE, sp|Q80U78|PUM1_MOUSE	 	10.3	1066	114313	Pumilio homolog 2 OS=Mus musculus OX=10090 GN=Pum2 PE=1 SV=2	18	6	0.333	9	5	4	4	1	1	6.222	1.571	1.600
2772	1	sp|Q80U63|MFN2_MOUSE	 	 	sp|Q61543|GSLG1_MOUSE, sp|Q80U63|MFN2_MOUSE, sp|Q811U4|MFN1_MOUSE	 	10.7	757	86187	Mitofusin-2 OS=Mus musculus OX=10090 GN=Mfn2 PE=1 SV=3	9	6	0.667	3	3	3	2	2	2	2.222	2.667	2.051
2773	1	sp|Q80U70|SUZ12_MOUSE	 	 	 	 	8.8	741	83025	Polycomb protein Suz12 OS=Mus musculus OX=10090 GN=Suz12 PE=1 SV=2	6	6	1.000	3	2	1	3	2	1	3.000	2.000	1.000
2774	1	sp|Q80U72|SCRIB_MOUSE	 	 	sp|Q6P5H2|NEST_MOUSE, sp|Q80U72|SCRIB_MOUSE, sp|Q80VQ1|LRRC1_MOUSE	 	18.4	1612	174057	Protein scribble homolog OS=Mus musculus OX=10090 GN=Scrib PE=1 SV=2	42	38	0.905	16	13	13	14	12	12	15.064	12.857	13.000
2775	1	sp|Q80U78|PUM1_MOUSE	 	 	sp|Q80U58|PUM2_MOUSE, sp|Q80U78|PUM1_MOUSE	 	12.1	1189	126618	Pumilio homolog 1 OS=Mus musculus OX=10090 GN=Pum1 PE=1 SV=2	27	15	0.556	10	10	7	5	6	4	7.778	9.429	6.400
2776	1	sp|Q80U87|UBP8_MOUSE	 	 	 	 	19.6	1080	122609	Ubiquitin carboxyl-terminal hydrolase 8 OS=Mus musculus OX=10090 GN=Usp8 PE=1 SV=2	30	30	1.000	15	12	3	15	12	3	15.000	12.000	3.000
2777	1	sp|Q80U93|NU214_MOUSE	 	 	 	 	18.8	2085	212976	Nuclear pore complex protein Nup214 OS=Mus musculus OX=10090 GN=Nup214 PE=1 SV=2	45	45	1.000	25	12	8	25	12	8	25.000	12.000	8.000
2778	1	sp|Q80U95|UBE3C_MOUSE	 	 	 	 	19.7	1083	123974	Ubiquitin-protein ligase E3C OS=Mus musculus OX=10090 GN=Ube3c PE=1 SV=2	28	28	1.000	14	7	7	14	7	7	14.000	7.000	7.000
2779	1	sp|Q80UE6|WNK4_MOUSE	 	 	sp|P83741|WNK1_MOUSE, sp|Q3UH66|WNK2_MOUSE, sp|Q80UE6|WNK4_MOUSE, sp|Q80XP9|WNK3_MOUSE	 	4.3	1222	132408	Serine/threonine-protein kinase WNK4 OS=Mus musculus OX=10090 GN=Wnk4 PE=1 SV=1	9	1	0.111	4	2	3	0	0	1	0.000	0.000	1.154
2780	1	sp|Q80UG2|PLXA4_MOUSE	 	 	sp|P70206|PLXA1_MOUSE, sp|P70208|PLXA3_MOUSE, sp|Q80UG2|PLXA4_MOUSE	 	3.2	1893	212558	Plexin-A4 OS=Mus musculus OX=10090 GN=Plxna4 PE=1 SV=3	7	4	0.571	3	2	2	2	1	1	2.250	1.200	1.200
2781	1	sp|Q80UG5|SEPT9_MOUSE	 	 	sp|P42208|SEPT2_MOUSE, sp|Q80UG5|SEPT9_MOUSE	 	48.5	583	65574	Septin-9 OS=Mus musculus OX=10090 GN=Septin9 PE=1 SV=1	78	74	0.949	33	20	25	31	19	24	31.873	19.452	24.558
2782	1	sp|Q80UJ7|RB3GP_MOUSE	 	 	 	 	21.1	981	110196	Rab3 GTPase-activating protein catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap1 PE=1 SV=4	21	21	1.000	9	8	4	9	8	4	9.000	8.000	4.000
2783	1	sp|Q80UK0|SESD1_MOUSE	 	 	 	 	2.4	696	79375	SEC14 domain and spectrin repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Sestd1 PE=1 SV=1	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000
2784	1	sp|Q80UK8|INT2_MOUSE	 	 	 	 	2.9	1198	133514	Integrator complex subunit 2 OS=Mus musculus OX=10090 GN=Ints2 PE=1 SV=2	5	5	1.000	5	0	0	5	0	0	5.000	0.000	0.000
2785	1	sp|Q80UM3|NAA15_MOUSE	 	 	sp|Q80UM3|NAA15_MOUSE, sp|Q8BM39|PRP18_MOUSE, sp|Q9DBB4|NAA16_MOUSE, tr|E9PX57|E9PX57_MOUSE	 	60.7	865	100960	N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Mus musculus OX=10090 GN=Naa15 PE=1 SV=1	167	143	0.856	66	51	50	59	44	40	65.884	50.400	49.364
2786	1	sp|Q80UM7|MOGS_MOUSE	 	 	 	 	15.6	834	91830	Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1	16	16	1.000	8	1	7	8	1	7	8.000	1.000	7.000
2787	1	sp|Q80UN9|MOD5_MOUSE	 	 	 	 	17.1	467	52436	tRNA dimethylallyltransferase OS=Mus musculus OX=10090 GN=Trit1 PE=1 SV=2	8	8	1.000	6	1	1	6	1	1	6.000	1.000	1.000
2788	1	sp|Q80UP3|DGKZ_MOUSE	 	 	 	 	10.7	929	104030	Diacylglycerol kinase zeta OS=Mus musculus OX=10090 GN=Dgkz PE=1 SV=2	10	10	1.000	8	0	2	8	0	2	8.000	0.000	2.000
2789	1	sp|Q80UP5|AN13A_MOUSE	 	 	 	 	12.4	588	67177	Ankyrin repeat domain-containing protein 13A OS=Mus musculus OX=10090 GN=Ankrd13a PE=1 SV=2	6	6	1.000	4	1	1	4	1	1	4.000	1.000	1.000
2790	1	sp|Q80UP8|S20A2_MOUSE	 	 	 	 	14.6	656	70865	Sodium-dependent phosphate transporter 2 OS=Mus musculus OX=10090 GN=Slc20a2 PE=1 SV=2	10	10	1.000	5	1	4	5	1	4	5.000	1.000	4.000
2791	1	sp|Q80UU1|ANKZ1_MOUSE	 	 	sp|P14576|SRP54_MOUSE, sp|Q80UU1|ANKZ1_MOUSE	 	5.5	748	82975	Ankyrin repeat and zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ankzf1 PE=1 SV=2	7	5	0.714	2	4	1	2	2	1	2.000	2.267	1.000
2792	1	sp|Q80UU9|PGRC2_MOUSE	 	 	sp|O55022|PGRC1_MOUSE, sp|Q80UU9|PGRC2_MOUSE	 	63.6	217	23334	Membrane-associated progesterone receptor component 2 OS=Mus musculus OX=10090 GN=Pgrmc2 PE=1 SV=2	21	15	0.714	9	9	3	7	7	1	7.700	7.933	1.182
2793	1	sp|Q80UW8|RPAB1_MOUSE	 	 	 	 	47.6	210	24570	DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Mus musculus OX=10090 GN=Polr2e PE=1 SV=1	14	14	1.000	4	4	6	4	4	6	4.000	4.000	6.000
2794	1	sp|Q80UY1|CARME_MOUSE	 	 	 	 	20.5	400	46338	Carnosine N-methyltransferase OS=Mus musculus OX=10090 GN=Carnmt1 PE=1 SV=1	12	12	1.000	7	3	2	7	3	2	7.000	3.000	2.000
2795	1	sp|Q80UY2|KCMF1_MOUSE	 	 	 	 	10.5	381	41791	E3 ubiquitin-protein ligase KCMF1 OS=Mus musculus OX=10090 GN=Kcmf1 PE=1 SV=1	10	10	1.000	1	5	4	1	5	4	1.000	5.000	4.000
2796	1	sp|Q80UZ0|FGD5_MOUSE	 	 	 	 	4.2	1219	134717	FYVE, RhoGEF and PH domain-containing protein 5 OS=Mus musculus OX=10090 GN=Fgd5 PE=1 SV=2	3	3	1.000	3	0	0	3	0	0	3.000	0.000	0.000
2797	1	sp|Q80V26|IMPA3_MOUSE	 	 	 	 	34.3	356	38616	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase OS=Mus musculus OX=10090 GN=Bpnt2 PE=1 SV=1	21	21	1.000	10	6	5	10	6	5	10.000	6.000	5.000
2798	1	sp|Q80V86|INT8_MOUSE	 	 	 	 	10.9	995	113352	Integrator complex subunit 8 OS=Mus musculus OX=10090 GN=Ints8 PE=1 SV=1	8	8	1.000	7	1	0	7	1	0	7.000	1.000	0.000
2799	1	sp|Q80V94|AP4E1_MOUSE	 	 	 	 	3.5	1122	124844	AP-4 complex subunit epsilon-1 OS=Mus musculus OX=10090 GN=Ap4e1 PE=1 SV=3	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
2800	1	sp|Q80VA0|GALT7_MOUSE	 	 	 	 	15.8	657	75418	N-acetylgalactosaminyltransferase 7 OS=Mus musculus OX=10090 GN=Galnt7 PE=1 SV=2	12	12	1.000	8	1	3	8	1	3	8.000	1.000	3.000
2801	1	sp|Q80VC6|TSAP1_MOUSE	 	 	 	 	10.1	287	32423	tRNA selenocysteine 1-associated protein 1 OS=Mus musculus OX=10090 GN=Trnau1ap PE=1 SV=2	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
2802	1	sp|Q80VC9|CAMP3_MOUSE	 	 	 	 	3.2	1252	135174	Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus OX=10090 GN=Camsap3 PE=1 SV=1	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
2803	1	sp|Q80VD1|FA98B_MOUSE	 	 	sp|Q3TJZ6|FA98A_MOUSE, sp|Q80VD1|FA98B_MOUSE	 	42.9	429	45349	Protein FAM98B OS=Mus musculus OX=10090 GN=Fam98b PE=1 SV=1	32	24	0.750	12	10	10	7	9	8	9.059	9.643	8.842
2804	1	sp|Q80VI1|TRI56_MOUSE	 	 	 	 	10.8	734	79512	E3 ubiquitin-protein ligase TRIM56 OS=Mus musculus OX=10090 GN=Trim56 PE=1 SV=1	6	6	1.000	3	3	0	3	3	0	3.000	3.000	0.000
2805	1	sp|Q80VJ2|SRA1_MOUSE	 	 	 	 	38.6	220	24324	Steroid receptor RNA activator 1 OS=Mus musculus OX=10090 GN=Sra1 PE=1 SV=4	29	29	1.000	8	11	10	8	11	10	8.000	11.000	10.000
2806	1	sp|Q80VJ3|DNPH1_MOUSE	 	 	 	 	60.7	173	18977	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Mus musculus OX=10090 GN=Dnph1 PE=1 SV=2	11	11	1.000	5	4	2	5	4	2	5.000	4.000	2.000
2807	1	sp|Q80VL1|TDRKH_MOUSE	 	 	 	 	35.4	560	62133	Tudor and KH domain-containing protein OS=Mus musculus OX=10090 GN=Tdrkh PE=1 SV=1	33	33	1.000	14	13	6	14	13	6	14.000	13.000	6.000
2808	1	sp|Q80VP0|TCPR1_MOUSE	 	 	 	 	6.4	1166	130264	Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Tecpr1 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
2809	1	sp|Q80VP1|EPN1_MOUSE	 	 	sp|Q80VP1|EPN1_MOUSE, sp|Q8CHU3|EPN2_MOUSE, sp|Q91W69|EPN3_MOUSE	 	13.7	575	60211	Epsin-1 OS=Mus musculus OX=10090 GN=Epn1 PE=1 SV=3	18	11	0.611	10	5	3	6	3	2	9.462	5.000	3.000
2810	1	sp|Q80VP5|MTRFR_MOUSE	 	 	 	 	21.7	184	20787	Mitochondrial translation release factor in rescue OS=Mus musculus OX=10090 GN=Mtrfr PE=1 SV=1	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000
2811	1	sp|Q80VQ1|LRRC1_MOUSE	 	 	sp|Q80U72|SCRIB_MOUSE, sp|Q80VQ1|LRRC1_MOUSE	 	11.3	524	59411	Leucine-rich repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Lrrc1 PE=1 SV=2	7	4	0.571	3	3	1	2	2	0	2.125	2.143	0.000
2812	1	sp|Q80W00|PP1RA_MOUSE	 	 	 	 	14.0	888	94371	Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Mus musculus OX=10090 GN=Ppp1r10 PE=1 SV=1	26	26	1.000	11	7	8	11	7	8	11.000	7.000	8.000
2813	1	sp|Q80W14|PR40B_MOUSE	 	 	 	 	3.9	870	99299	Pre-mRNA-processing factor 40 homolog B OS=Mus musculus OX=10090 GN=Prpf40b PE=1 SV=2	5	5	1.000	3	2	0	3	2	0	3.000	2.000	0.000
